                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2735,                 1.3715,                0.97105,                0.87398,                0.95489,                 0.9302,                 0.6724,                 1.1397,                 28.598,                0.78944,               0.070019,              0.0033312,              0.0033312
                      2,                0.99009,                0.61867,                 0.8676,                0.87658,                0.96436,                 0.9397,                0.65052,                 1.1797,                 53.678,                0.79253,               0.040018,              0.0066629,              0.0066629
                      3,                0.97647,                0.57825,                0.86558,                 0.8756,                0.96904,                0.90542,                0.65876,                 1.0846,                 49.345,                0.78605,                0.01001,              0.0099881,              0.0099881
                      4,                0.93389,                0.52872,                0.85939,                0.87608,                0.97682,                0.91227,                0.67948,                0.99909,                 55.673,                0.77033,               0.009978,               0.009978,               0.009978
                      5,                0.89341,                0.48791,                0.85111,                0.87821,                0.97896,                0.90974,                0.67468,                 1.0139,                 47.963,                0.77255,               0.009978,               0.009978,               0.009978
                      6,                0.84891,                0.46361,                0.84425,                0.87931,                0.97433,                0.92705,                0.71105,                0.90415,                 50.973,                0.74944,               0.009961,               0.009961,               0.009961
                      7,                0.82246,                0.44492,                0.83873,                0.87928,                0.97521,                0.92988,                0.71256,                0.89062,                 50.316,                0.74721,              0.0099391,              0.0099391,              0.0099391
                      8,                0.80727,                0.43277,                0.83616,                0.87815,                0.98016,                0.94352,                0.72581,                0.90519,                 52.259,                0.75017,              0.0099123,              0.0099123,              0.0099123
                      9,                  0.793,                0.42086,                0.83332,                 0.8796,                0.98203,                0.94157,                0.71432,                0.90784,                 57.424,                0.75145,              0.0098808,              0.0098808,              0.0098808
                     10,                0.78749,                0.41626,                0.83191,                0.87882,                0.98246,                0.92565,                0.72075,                0.85108,                 55.984,                0.74432,              0.0098445,              0.0098445,              0.0098445
                     11,                0.77739,                0.40724,                0.83023,                0.87915,                0.98318,                0.93978,                 0.7327,                0.82932,                 52.529,                0.73944,              0.0098035,              0.0098035,              0.0098035
                     12,                0.74852,                0.40244,                0.82566,                0.88123,                0.97871,                0.91557,                0.72622,                0.76884,                 53.589,                0.72949,              0.0097577,              0.0097577,              0.0097577
                     13,                0.73266,                0.39898,                0.82214,                0.87945,                0.98383,                0.93824,                0.74088,                0.76752,                 54.758,                0.72935,              0.0097074,              0.0097074,              0.0097074
                     14,                0.72191,                0.39212,                0.82097,                0.88018,                0.98146,                0.92611,                0.73455,                0.78397,                 54.667,                0.73099,              0.0096524,              0.0096524,              0.0096524
                     15,                0.71645,                0.38699,                0.82023,                0.88212,                0.98251,                0.91723,                 0.7294,                0.77588,                 53.824,                0.72938,              0.0095929,              0.0095929,              0.0095929
                     16,                0.70826,                0.38145,                0.81947,                0.88031,                0.98241,                0.93781,                0.74409,                0.76742,                  56.86,                0.72903,              0.0095289,              0.0095289,              0.0095289
                     17,                0.70376,                0.37855,                0.81837,                0.88072,                0.98381,                0.93962,                0.74524,                0.77056,                 58.662,                0.72786,              0.0094605,              0.0094605,              0.0094605
                     18,                0.69564,                0.37395,                 0.8169,                0.87922,                  0.986,                0.93078,                0.74582,                0.76346,                 58.631,                0.72764,              0.0093877,              0.0093877,              0.0093877
                     19,                0.69362,                0.37202,                0.81601,                0.87955,                0.98576,                0.94478,                0.75897,                0.74733,                  56.39,                0.72566,              0.0093107,              0.0093107,              0.0093107
                     20,                0.68831,                0.36763,                0.81607,                0.87809,                0.98627,                0.95414,                0.76296,                 0.7609,                 56.859,                0.72731,              0.0092294,              0.0092294,              0.0092294
                     21,                0.68347,                0.36475,                0.81499,                0.88071,                 0.9845,                0.94669,                0.76064,                0.75415,                 59.861,                0.72643,               0.009144,               0.009144,               0.009144
                     22,                0.67777,                0.36081,                0.81421,                0.88095,                0.98484,                0.94135,                0.74881,                0.77118,                 60.923,                0.72804,              0.0090546,              0.0090546,              0.0090546
                     23,                0.67693,                0.35955,                0.81376,                0.88118,                0.98484,                0.94842,                0.76026,                0.75545,                 61.258,                0.72621,              0.0089613,              0.0089613,              0.0089613
                     24,                0.67467,                0.35731,                 0.8137,                0.88132,                0.98526,                0.93795,                0.75217,                0.75027,                 60.548,                0.72652,               0.008864,               0.008864,               0.008864
                     25,                0.66959,                0.35574,                0.81202,                0.88102,                0.98802,                 0.9532,                0.76539,                0.75184,                 59.995,                0.72587,               0.008763,               0.008763,               0.008763
                     26,                0.66669,                0.35231,                0.81224,                0.88178,                0.98501,                0.96038,                0.77084,                0.76204,                  60.54,                0.72669,              0.0086584,              0.0086584,              0.0086584
                     27,                0.66298,                0.34925,                0.81214,                0.88319,                0.98435,                0.95279,                0.75789,                0.76596,                 59.704,                0.72727,              0.0085502,              0.0085502,              0.0085502
                     28,                 0.6626,                0.34885,                0.81216,                0.88162,                0.98609,                0.95787,                0.77221,                0.74997,                 60.299,                0.72502,              0.0084385,              0.0084385,              0.0084385
                     29,                0.65761,                0.34606,                0.81123,                 0.8812,                0.98628,                0.94493,                0.75851,                0.75222,                 59.073,                0.72558,              0.0083235,              0.0083235,              0.0083235
                     30,                0.65164,                0.34343,                0.80952,                0.88118,                0.98643,                0.95021,                 0.7636,                0.75425,                 59.627,                0.72637,              0.0082052,              0.0082052,              0.0082052
