                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6622,                 1.9149,                 1.0193,                0.85376,                0.92686,                 0.9047,                0.65539,                0.93839,                 21.699,                0.76451,               0.070019,              0.0033312,              0.0033312
                      2,                 1.2636,                0.81284,                0.88626,                0.86537,                0.95584,                 0.8968,                0.64603,                0.96552,                 28.478,                 0.7665,               0.040018,              0.0066629,              0.0066629
                      3,                 1.2443,                0.75592,                0.88195,                0.86983,                0.96019,                0.90356,                0.65847,                0.93391,                 45.851,                0.76256,                0.01001,              0.0099881,              0.0099881
                      4,                  1.163,                0.68968,                0.86841,                 0.8694,                  0.967,                0.91833,                0.69077,                0.87941,                 40.624,                0.75256,               0.009978,               0.009978,               0.009978
                      5,                 1.0874,                0.62745,                0.85797,                0.87231,                0.96903,                0.91686,                 0.6904,                0.89135,                 48.923,                0.74851,               0.009978,               0.009978,               0.009978
                      6,                 1.0382,                0.58558,                0.85017,                0.87664,                0.97157,                 0.9084,                 0.6961,                0.80797,                 44.793,                0.74107,               0.009961,               0.009961,               0.009961
                      7,                 1.0056,                0.56559,                 0.8471,                0.87389,                0.97346,                0.90958,                0.71002,                0.79234,                 48.486,                0.73715,              0.0099391,              0.0099391,              0.0099391
                      8,                0.97914,                0.54313,                0.84177,                0.87352,                0.97454,                0.91707,                0.70666,                0.82017,                 48.766,                0.73839,              0.0099123,              0.0099123,              0.0099123
                      9,                0.96829,                0.53654,                0.84173,                0.87417,                0.97404,                0.92137,                0.71326,                0.79788,                 48.427,                0.73615,              0.0098808,              0.0098808,              0.0098808
                     10,                0.95267,                0.52306,                0.83802,                0.87375,                0.97084,                0.91508,                0.72038,                0.77951,                 53.608,                 0.7327,              0.0098445,              0.0098445,              0.0098445
                     11,                0.93457,                0.50566,                0.83496,                0.87606,                0.97731,                0.91466,                0.71642,                0.77681,                 52.058,                0.73215,              0.0098035,              0.0098035,              0.0098035
                     12,                0.93004,                0.50463,                0.83373,                0.87675,                0.97852,                0.91132,                 0.7223,                0.76439,                 51.494,                0.73121,              0.0097577,              0.0097577,              0.0097577
                     13,                0.92002,                0.49645,                0.83306,                0.87531,                0.97955,                0.93283,                0.73721,                0.76971,                 50.638,                0.73284,              0.0097074,              0.0097074,              0.0097074
                     14,                0.90925,                0.48841,                 0.8321,                0.87877,                0.97695,                0.91728,                0.72666,                0.75809,                 51.969,                0.73107,              0.0096524,              0.0096524,              0.0096524
                     15,                0.90421,                0.48593,                0.83054,                0.87809,                0.98161,                0.91614,                0.72301,                0.76122,                 49.593,                0.73038,              0.0095929,              0.0095929,              0.0095929
                     16,                0.89868,                 0.4794,                0.82847,                0.88045,                 0.9792,                0.93263,                0.73713,                0.76444,                 54.038,                0.72995,              0.0095289,              0.0095289,              0.0095289
                     17,                0.89484,                0.47623,                0.83046,                0.87875,                0.98108,                0.94439,                 0.7537,                 0.7595,                 52.778,                0.72962,              0.0094605,              0.0094605,              0.0094605
                     18,                0.88288,                0.46917,                0.82785,                 0.8776,                 0.9806,                0.92141,                0.73578,                 0.7451,                 54.251,                0.72766,              0.0093877,              0.0093877,              0.0093877
                     19,                0.88115,                0.46605,                0.82733,                0.87748,                 0.9805,                 0.9095,                0.72712,                0.75752,                 52.233,                0.72841,              0.0093107,              0.0093107,              0.0093107
                     20,                 0.8793,                0.46573,                0.82672,                0.87684,                0.98068,                 0.9077,                0.72176,                0.74823,                 54.395,                0.72921,              0.0092294,              0.0092294,              0.0092294
                     21,                0.87213,                0.46141,                0.82704,                0.87979,                0.98034,                0.93431,                0.74412,                0.74394,                 53.865,                 0.7273,               0.009144,               0.009144,               0.009144
                     22,                0.86772,                0.45776,                0.82466,                0.87985,                0.98175,                0.94256,                0.75489,                0.74447,                 54.395,                0.72769,              0.0090546,              0.0090546,              0.0090546
                     23,                0.86419,                0.45349,                0.82491,                 0.8796,                0.98195,                0.92131,                0.73464,                0.73419,                 54.333,                0.72643,              0.0089613,              0.0089613,              0.0089613
                     24,                0.86492,                  0.456,                 0.8252,                0.87962,                0.98243,                 0.9054,                0.72358,                0.73679,                 55.145,                0.72627,               0.008864,               0.008864,               0.008864
